,"Country,Other",TotalCases,NewCases,TotalDeaths
0,USA,"39,723,482","+24,520","654,982 "
1,India,"32,767,749","+30,180","438,589 "
2,Brazil,"20,741,815",,"579,330 "
3,Russia,"6,901,152","+18,325","182,429  "
4,UK,"6,757,650","+26,476","132,485 "
5,France,"6,746,283","+3,795","114,308 "
6,Turkey,"6,366,438","+19,557","56,458 "
7,Argentina,"5,173,531",,"111,383 "
8,Iran,"4,960,744","+33,780","107,151 "
9,Colombia,"4,905,258",,"124,811 "
10,Spain,"4,847,298","+5,163","84,146 "
11,Italy,"4,534,499","+4,257","129,146 "
12,Indonesia,"4,079,267","+5,436","132,491 "
13,Germany,"3,946,776","+6,565","92,671 "
14,Mexico,"3,335,700","+6,837","258,165 "
15,Poland,"2,888,385",+151,"75,340 "
16,South Africa,"2,770,575","+5,644","81,830 "
17,Ukraine,"2,284,940",+749,"53,738 "
18,Peru,"2,148,419",,"198,167 "
19,Philippines,"1,976,202","+22,366","33,330 "
20,Netherlands,"1,938,743","+2,171","17,998 "
21,Iraq,"1,881,213","+6,778","20,764 "
22,Malaysia,"1,725,357","+19,268","16,382 "
23,Czechia,"1,678,944",+81,"30,402 "
24,Chile,"1,638,330",+501,"36,923 "
25,Bangladesh,"1,497,261","+3,724","26,109 "
26,Canada,"1,490,893","+1,080","26,901 "
27,Japan,"1,454,364","+19,314","15,946 "
28,Thailand,"1,190,063","+15,972","11,399 "
29,Belgium,"1,177,909",,"25,360 "
30,Pakistan,"1,156,281","+3,800","25,670 "
31,Sweden,"1,123,413",,"14,644 "
32,Romania,"1,097,452",+699,"34,539 "
33,Israel,"1,061,488","+7,960","7,043 "
34,Portugal,"1,036,019","+1,072","17,730 "
35,Morocco,"856,049","+2,676","12,540 "
36,Hungary,"812,227",+521,"30,057 "
37,Jordan,"796,259","+1,098","10,398 "
38,Kazakhstan,"785,149","+5,222","9,222 "
39,Switzerland,"776,956","+6,198","10,971 "
40,Nepal,"761,124","+1,902","10,730 "
41,Serbia,"759,952","+2,335","7,278 "
42,UAE,"717,374",+993,"2,039 "
43,Austria,"687,076","+1,120","10,782 "
44,Tunisia,"662,752","+2,165","23,430 "
45,Cuba,"646,513","+6,075","5,219 "
46,Lebanon,"600,451",,"8,044 "
47,Greece,"583,658","+2,343","13,600 "
48,Georgia,"545,033","+1,915","7,329 "
49,Saudi Arabia,"544,225",+221,"8,539 "
50,Ecuador,"501,140",,"32,232 "
51,Bolivia,"490,056",+254,"18,411 "
52,Belarus,"480,364","+1,058","3,768 "
53,Guatemala,"465,799",+740,"11,886 "
54,Paraguay,"458,334",,"15,723 "
55,Panama,"456,666",,"7,046 "
56,Costa Rica,"455,784",,"5,431 "
57,Bulgaria,"451,599",,"18,731 "
58,Vietnam,"449,489","+14,224","11,064 "
59,Sri Lanka,"426,169",,"8,775 "
60,Azerbaijan,"421,103","+3,107","5,592 "
61,Kuwait,"409,552",,"2,417 "
62,Myanmar,"395,883","+3,583","15,287 "
63,Slovakia,"394,791",+49,"12,548 "
64,Uruguay,"384,692",,"6,029 "
65,Croatia,"373,330",+139,"8,331 "
66,Ireland,"351,065","+1,292","5,092 "
67,Dominican Republic,"350,017",+158,"4,007 "
68,Denmark,"344,850",+762,"2,580 "
69,Palestine,"339,816","+2,411","3,675 "
70,Honduras,"335,398",,"8,832 "
71,Venezuela,"333,125",,"3,998 "
72,Libya,"307,471","+1,678","4,213 "
73,Ethiopia,"306,810",+693,"4,660 "
74,Oman,"302,239",+107,"4,063 "
75,Lithuania,"298,165",+353,"4,547 "
76,Egypt,"287,899",,"16,721 "
77,Bahrain,"272,341",,"1,388 "
